brand,product_type,shade_name,shade_family
Maybelline,foundation,"Fit Me 110 Porcelain",ivory
Maybelline,foundation,"Fit Me 112 Natural Ivory",ivory
Maybelline,foundation,"Fit Me 115 Ivory",ivory
Maybelline,foundation,"Fit Me 120 Classic Ivory",ivory
Maybelline,foundation,"Fit Me 125 Nude Beige",beige
Maybelline,foundation,"Fit Me 128 Warm Nude","warmBeige"
Maybelline,foundation,"Fit Me 220 Natural Beige",beige
Maybelline,foundation,"Fit Me 228 Soft Tan",tan
Maybelline,foundation,"Fit Me 230 Natural Buff","warmBeige"
Maybelline,foundation,"Fit Me 310 Sun Beige",tan
Maybelline,foundation,"Fit Me 322 Warm Honey",honey
Maybelline,foundation,"Fit Me 332 Golden Caramel",caramel
Maybelline,foundation,"Fit Me 340 Cappuccino",espresso
Maybelline,lipstick,"Creamy Matte Coral",coral
Maybelline,lipstick,"Touch of Spice",rose
Maybelline,lipstick,"Nude Nuance",nude
Maybelline,lipstick,"Clay Crush",nude
Maybelline,lipstick,"Rich Ruby",red
Maybelline,lipstick,"Red Liberation",red
Maybelline,lipstick,"Divine Wine",wine
Maybelline,lipstick,"Berry Boost",berry
Maybelline,lipstick,"Pink Charge",pink
Maybelline,blush,"Peach Flush",peach
Maybelline,blush,"Rose Pink",rose
Maybelline,blush,"Soft Nude",nude
Maybelline,blush,"Coral Burst",coral
Lakme,foundation,"9to5 Warm Beige","warmBeige"
Lakme,foundation,"9to5 Natural Cream",beige
Lakme,foundation,"9to5 Golden Sand",golden
Lakme,foundation,"9to5 Almond Honey",honey
Lakme,foundation,"9to5 Honey Dew",honey
Lakme,foundation,"9to5 Caramel",caramel
Lakme,lipstick,"Coral Case",coral
Lakme,lipstick,"Pink Affair",pink
Lakme,lipstick,"Wine Order",wine
Lakme,lipstick,"Nude Dream",nude
Lakme,lipstick,"Red Coat",red
Lakme,lipstick,"Brown Sugar",brown
Lakme,blush,"Peach Affair",peach
Lakme,blush,"Rose Blush",rose
Lakme,blush,"Coral Blush",coral
Nykaa,foundation,"All Day Matte Ivory",ivory
Nykaa,foundation,"All Day Matte Beige",beige
Nykaa,foundation,"All Day Matte Warm Sand","warmBeige"
Nykaa,foundation,"All Day Matte Golden Honey",honey
Nykaa,foundation,"All Day Matte True Tan",tan
Nykaa,lipstick,"Wakeup Makeup",nude
Nykaa,lipstick,"Madras Kaapi",brown
Nykaa,lipstick,"Chilli Pepper",red
Nykaa,lipstick,"Pink Saucy",pink
Nykaa,lipstick,"Berry Blast",berry
Nykaa,lipstick,"Coral Crush",coral
Nykaa,blush,"Peach Candy",peach
Nykaa,blush,"Rose Glow",rose
Nykaa,blush,"Soft Coral",coral
MAC,foundation,"Studio Fix NC10",ivory
MAC,foundation,"Studio Fix NC15",ivory
MAC,foundation,"Studio Fix NC20",beige
MAC,foundation,"Studio Fix NC25",beige
MAC,foundation,"Studio Fix NC30","warmBeige"
MAC,foundation,"Studio Fix NC35","warmBeige"
MAC,foundation,"Studio Fix NC40",tan
MAC,foundation,"Studio Fix NC42",tan
MAC,foundation,"Studio Fix NC45",caramel
MAC,foundation,"Studio Fix NC50",espresso
MAC,lipstick,"Velvet Teddy",nude
MAC,lipstick,"Mehr",rose
MAC,lipstick,"Diva",wine
MAC,lipstick,"Heroine",purple
MAC,lipstick,"Twig",nude
MAC,lipstick,"Chili","brickRed"
MAC,blush,"Melba",peach
MAC,blush,"Mocha",brown
MAC,blush,"Pink Swoon",pink
MAC,blush,"Peaches",peach
Loreal,foundation,"True Match Ivory",ivory
Loreal,foundation,"True Match Beige",beige
Loreal,foundation,"True Match Golden Beige","warmbeige"
Loreal,foundation,"True Match Honey",honey
Loreal,foundation,"True Match Caramel Beige",caramel
Loreal,lipstick,"Rouge Signature Coral",coral
Loreal,lipstick,"Paris Cherry",red
Loreal,lipstick,"Rosewood",rose
Loreal,lipstick,"I Explore",nude
Loreal,lipstick,"Berry Chic",berry
Loreal,blush,"Peach Blush",peach
Loreal,blush,"Rosewood Blush",rose
Loreal,blush,"Coral Flush",coral
