skin_tone,undertone,foundation,lipstick,blush
light,cool,ivory,"soft pink",rose
light,cool,porcelain,berry,"cool pink"
light,cool,"light beige",mauve,"light rose"
light,cool,"ivory pink",plum,"pink blush"
light,warm,"warm ivory",peach,"peach blush"
light,warm,"light beige" warm,coral,apricot
light,warm,"golden ivory","warm red",peach
light,warm,beige,"orange red","warm peach"
light,neutral,"light beige","nude pink","soft peach"
light,neutral,ivory,rose,"natural pink"
light,neutral,"neutral beige","soft coral",peach
light,neutral,beige,"pink nude","light peach"
medium,warm,"warm beige",coral,peach
medium,warm,"golden beige",terracotta,"warm peach"
medium,warm,honey,"orange red",apricot
medium,warm,tan,"brick red","warm blush"
medium,cool,"cool beige",berry,rose
medium,cool,"neutral tan",plum,pink
medium,cool,beige,magenta,"cool pink"
medium,cool,sand,wine,"rose blush"
medium,neutral,"natural beige",nude,"soft peach"
medium,neutral,beige,rose,"peach pink"
medium,neutral,tan,"pink nude","natural blush"
medium,neutral,"warm tan","soft coral",peach
dark,warm,caramel,"brick red","warm orange"
dark,warm,toffee,"burnt orange",peach
dark,warm,espresso,"deep coral","warm blush"
dark,warm,mocha,"warm red",terracotta
dark,cool,espresso,berry,plum
dark,cool,"deep cocoa",wine,"cool pink"
dark,cool,ebony,purple,"plum blush"
dark,cool,"dark mocha",magenta,rose
dark,neutral,"deep tan","nude brown","soft coral"
dark,neutral,espresso,"rose brown","warm blush"
dark,neutral,mocha,"brown nude",peach
dark,neutral,"deep beige","neutral red","natural blush"
light,cool,porcelain,"baby pink","cool blush"
light,warm,"warm beige","peach nude",peach
medium,warm,"golden tan","coral red",apricot
medium,cool,"neutral beige","berry pink",rose
dark,warm,"deep caramel",rust,"orange blush"
dark,cool,espresso,"deep plum",plum
light,cool,porcelain,"rose pink","soft pink"
light,cool,ivory,"cool nude","light rose"
light,cool,"light ivory","berry pink","cool blush"
light,cool,"fair beige","plum pink",rose
light,warm,"warm ivory","peach coral",apricot
light,warm,"light warm" beige,"coral pink",peach
light,warm,"golden beige","orange coral","warm peach"
light,warm,"warm sand","warm nude","apricot blush"
light,neutral,"neutral ivory","soft nude",peach
light,neutral,"light beige","pink coral","soft pink"
light,neutral,"beige neutral","rosy nude","natural blush"
light,neutral,"neutral sand","warm pink",peach
medium,warm,"warm beige","burnt coral",peach
medium,warm,"golden tan","brick orange","warm blush"
medium,warm,"honey beige","rust red",apricot
medium,warm,"caramel beige","terracotta coral",peach
medium,cool,"cool beige","deep berry",rose
medium,cool,"neutral sand","wine pink","cool blush"
medium,cool,beige,"plum berry",pink
medium,cool,"cool tan","magenta pink",rose
medium,neutral,"natural tan","soft nude",peach
medium,neutral,beige,"neutral rose","natural blush"
medium,neutral,"warm sand","pink nude","soft peach"
medium,neutral,"tan neutral","coral nude",peach
dark,warm,"deep caramel","burnt orange","warm orange"
dark,warm,toffee,"rust coral",peach
dark,warm,"espresso warm","brick coral",terracotta
dark,warm,"mocha warm","deep orange","warm blush"
dark,cool,"deep espresso","berry wine",plum
dark,cool,ebony,"deep magenta","cool blush"
dark,cool,"cool cocoa","purple wine","plum blush"
dark,cool,"dark espresso","berry pink",rose
dark,neutral,"deep tan","brown nude","soft coral"
dark,neutral,"espresso neutral","neutral rose","warm blush"
dark,neutral,mocha,"soft brown",peach
dark,neutral,"deep beige","warm nude","natural blush"
light,cool,porcelain,"cool rose",pink
light,warm,"warm beige","soft coral",apricot
medium,warm,"golden tan","orange coral",peach
medium,cool,"neutral beige","plum rose",rose
dark,warm,"deep caramel","brick orange","warm blush"
dark,cool,espresso,"deep berry",plum
light,neutral,ivory,"soft pink" nude,peach
medium,neutral,tan,"neutral coral","soft blush"
dark,neutral,espresso,"brown pink","natural blush"
medium,warm,"golden beige","rust coral",apricot
medium,cool,"cool tan","wine berry",rose
dark,warm,toffee,"burnt coral","warm orange"
dark,cool,"deep cocoa","magenta wine",plum
light,warm,"warm ivory","peach pink",apricot
medium,neutral,beige,"rose nude",peach
dark,neutral,"deep tan","neutral brown","soft coral"
